"subject","sex","exc","soc","tac","rank","median_fgc","n_samples","exc_z","soc_z","tac_z","rank_z"
"ANN","Female",1.03,1.48,0.65,1456,1460.29,33,-0.495696248275273,0.844556386034773,0.0550786686051985,1.97494121753767
"ART","Male",2.31,1.36,0.58,1190,1205.735,36,0.660446604844898,0.444924026712326,-0.277292607460656,0.822538366081037
"CAS","Male",4.32,1.16,0.49,910,1128.265,30,2.47595217888517,-0.221129905491755,-0.704627105259612,-0.390517267031205
"DAK","Female",0.37,1.28,0.76,882,1037.02,35,-1.09183240691536,0.178502453830694,0.577376388137255,-0.511822830342429
"DAN","Female",0.57,0.98,0.62,828,1435.16,33,-0.911185086115334,-0.820578444475426,-0.0873661639944535,-0.745769273871219
"GEO","Male",1.51,0.68,0.36,946,1083.315,34,-0.0621426783552085,-1.81965934278155,-1.32188804652477,-0.234552971345346
"GUL","Male",3.67,1.17,0.69,1076,1402.79,30,1.88884838628508,-0.18782720888155,0.245005112071401,0.328651429742481
"HEL","Female",0.5,1.16,0.69,945,1590.855,32,-0.974411648395343,-0.221129905491755,0.245005112071401,-0.238885312892175
"ISA","Male",3.3,1.29,0.48,1129,1265.09,28,1.55465084280503,0.211805150440898,-0.752108716126162,0.558265531724441
"IZZ","Female",2.08,1.54,1.05,1141,2219.99,27,0.452702185924868,1.044372565696,1.95434310326722,0.610253630286394
"JOA","Female",0.58,0.96,0.79,1086,1498.33,35,-0.902152720075333,-0.887183837695834,0.719821220736907,0.371974845210775
"KER","Female",1.09,1.19,0.71,1212,1254.765,36,-0.441502052035264,-0.121221815661142,0.339968333804502,0.917849880111284
"KRI","Female",0.41,1.54,0.8,947,1246.94,35,-1.05570294275536,1.044372565696,0.767302831603458,-0.230220629798516
"LEW","Male",1.24,1.28,0.44,967.5,1200.64,36,-0.306016561435245,0.178502453830694,-0.942035159592365,-0.141407628088513
"MAC","Male",2.3,1.37,0.41,732,1050.365,34,0.651414238804897,0.47822672332253,-1.08447999219202,-1.16167406236684
"NIC","Female",0.81,1.55,0.86,1075,1870.96,35,-0.694408301155302,1.0776752623062,1.05219249680276,0.324319088195652
"NOD","Male",2.45,1.2,0.49,857,1459.48,32,0.786899729404917,-0.0879191190509385,-0.704627105259612,-0.620131369013165
"OZZ","Male",0.95,1.5,0.38,1184,1439.47,34,-0.567955176595283,0.911161779255181,-1.22692482479167,0.79654431680006
"PEN","Female",0.66,0.74,0.81,379,2131.53,29,-0.829893791755322,-1.61984316312032,0.814784442470009,-2.69099062839764
"REB","Female",0.53,1.61,0.88,980,1645.85,34,-0.947314550275339,1.27749144196743,1.14715571853586,-0.0872533587531448
"ROC","Male",2.64,1.54,0.38,1024,1316.675,30,0.958514684164942,1.044372565696,-1.22692482479167,0.10336966930735
"SAR","Female",1.26,1.38,0.98,1508,1895.885,30,-0.287951829355242,0.511529419932733,1.62197182720137,2.2002229779728
"SIM","Male",1.87,1.36,0.52,973,1113.16,33,0.26302249908484,0.444924026712326,-0.56218227265996,-0.117579749580951
"TIM","Male",2.4,0.46,0.28,864,1389.215,34,0.74173789920491,-2.55231866820603,-1.70174093345717,-0.589804978185359
"WAN","Female",0.62,0.88,0.86,712,2131.605,32,-0.866023255915327,-1.15360541057747,1.05219249680276,-1.24832089330343
